date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-04-12 00:00:00,5.8,2,12,,,266,29,,,
2018-04-13 00:00:00,7.5,3,12,,,333,18.5,,,
2018-04-14 00:00:00,6.9,2,12,,,309,13.5,,,
2018-04-15 00:00:00,9.6,6,14,,,298,19.8,,,
2018-04-16 00:00:00,5.9,5,7,,,,8.2,,,
2018-04-17 00:00:00,4.9,1,10,,,280,15.3,,,
2018-04-18 00:00:00,6.8,0.9,13,1,,332,22.3,,,
2018-04-19 00:00:00,6.1,1.8,13,2,,306,26.4,,,
2018-04-20 00:00:00,5.9,-0.2,11.6,0,,324,26.6,,,
2018-04-21 00:00:00,5.2,0.8,9.8,0,,322,28.6,,987.9,
2018-04-22 00:00:00,3.2,-0.5,9.8,0,,294,31.5,,990,
2018-04-23 00:00:00,4.3,0,10,,,296,32.9,,,
2018-04-24 00:00:00,6.8,2.8,11.8,,,311,28.4,,,
2018-04-25 00:00:00,6.8,3.8,11.8,0,,256,15.1,,,
2018-04-26 00:00:00,2.8,0,9.4,,,145,24.7,,,
2018-04-27 00:00:00,1.8,-2,5,3,30,210,14.2,,,
2018-04-28 00:00:00,0.4,-5,7.3,0,,283,21.8,,1005,
2018-04-29 00:00:00,5.2,-3.3,8.9,,,266,32.4,,,
2018-04-30 00:00:00,4.1,-2.9,9,,,305,22.3,,,
2018-05-01 00:00:00,3.1,-3,10.2,,,302,16.2,,,
2018-05-02 00:00:00,3.9,-3,11,,,311,16.6,,,
2018-05-03 00:00:00,4.8,0.8,11,3,,257,23.2,,,
2018-05-04 00:00:00,5.8,0.8,9,0,,273,37,,,
2018-05-05 00:00:00,6.1,4,10,,,281,34.2,,1008,
2018-05-06 00:00:00,4.8,2,10,,,299,19.7,,,
2018-05-07 00:00:00,7,2,13,0,,291,25,,,
2018-05-08 00:00:00,11.1,6,,0.3,,,,,,
2018-05-09 00:00:00,10.4,6,15,0,,288,33.5,,,
2018-05-10 00:00:00,4.1,1,12.7,,,169,22.4,,,
2018-05-11 00:00:00,2.7,1,6,,,146,12.6,,,
2018-05-12 00:00:00,1,-4,5.6,0,,208,9.2,,,
2018-05-13 00:00:00,-3.6,-8,4.9,,,231,10,,,
2018-05-14 00:00:00,-3.3,-8,4,,,234,10.6,,,
2018-05-15 00:00:00,-2.3,-7.5,5,,,238,16,,,
2018-05-16 00:00:00,1.5,-5,8,,,233,10.8,,,
2018-05-17 00:00:00,-1.2,-7,8,,,201,8.1,,,
2018-05-18 00:00:00,2.3,-7,,0,,,,,,
2018-05-19 00:00:00,6.7,-0.2,8.3,2,,352,23.3,,,
2018-05-20 00:00:00,3.3,-0.4,8,2,,295,19.6,,,
2018-05-21 00:00:00,4.3,-0.5,7.4,0,,286,27.5,,999.8,
2018-05-22 00:00:00,1.5,-2,6.3,,,275,14.4,,,
2018-05-23 00:00:00,0.6,-2,5.5,,,272,13.9,,,
2018-05-24 00:00:00,3.1,-2,5.3,0.5,,251,9.9,,999.2,
2018-05-25 00:00:00,5.3,3,8,0.8,,106,11.9,,,
2018-05-26 00:00:00,6.3,4.6,8.2,4.1,,270,19.5,,,
2018-05-27 00:00:00,1.9,-3,8,3,,268,18.5,,,
2018-05-28 00:00:00,-1.6,-5,4.4,0,,288,17.3,,,
2018-05-29 00:00:00,1.9,-4,4,,,278,26.6,,995.7,
2018-05-30 00:00:00,1.9,,,,,,,,,
2018-05-31 00:00:00,4.5,2.6,6,,,269,34.6,,,
2018-06-01 00:00:00,5.4,1,8,,,255,28.3,,1018.7,
2018-06-02 00:00:00,1.9,-1.3,8.2,,,260,15.3,,,
2018-06-03 00:00:00,2.8,-1.5,7.1,,,283,14.1,,,
2018-06-04 00:00:00,-1,-8.5,8.1,,,245,13.8,,,
2018-06-05 00:00:00,-1.2,-6.6,8.3,,,216,7.8,,,
2018-06-06 00:00:00,1.2,-2.3,5.1,0,,235,13.7,,,
2018-06-07 00:00:00,-0.7,-6.6,5.5,,,280,14.9,,,
2018-06-08 00:00:00,5.3,-6,6.2,0.5,,66,23.5,,,
2018-06-09 00:00:00,0.6,-2,5.7,0,,226,9,,1006.2,
2018-06-10 00:00:00,1.6,-1.5,3,0,,224,9.1,,,
2018-06-11 00:00:00,-1.9,-6,3.2,,,219,9.1,,,
2018-06-12 00:00:00,-3.2,-6,1.3,,,230,9.4,,,
2018-06-13 00:00:00,-2.8,-7.1,1.5,,,,,,,
2018-06-14 00:00:00,-3,-7.4,3,,,293,10.3,,,
2018-06-15 00:00:00,1.2,-6.2,6,,,298,8.7,,,
2018-06-16 00:00:00,4.8,-1.8,8,1,,304,27.8,,988.3,
