Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),date,tavg,tmin,tmax,wdir,wspd
2018-01-01,1535.2044833236253,8.02297467655604,1622.990047940644,229.73524188995316,2018-01-01,9.1,3.0,15.0,214.0,20.8
2018-01-02,3182.5642496744763,12.000547776619547,3314.693470949764,197.85978942447193,2018-01-02,7.3,5.0,10.0,146.0,15.2
2018-01-03,1017.793340197866,6.650189283821311,1072.9563609421696,192.4760445488819,2018-01-03,6.4,4.0,7.0,31.0,25.8
2018-01-04,834.4868690310486,6.232531402993384,838.463088376015,121.29914171113712,2018-01-04,8.7,6.0,12.0,351.0,19.5
2018-01-05,123.71734536356378,3.121433587123945,130.34229096718445,154.9066660486987,2018-01-05,9.1,6.0,12.0,232.0,13.7
2018-01-06,592.1282273277635,4.090141479458117,659.139896701028,182.60481263569378,2018-01-06,9.8,1.0,17.0,270.0,15.5
2018-01-07,3262.8306477864558,12.193146546681676,3366.1390982650055,210.71570830874924,2018-01-07,11.7,6.0,15.0,324.0,18.6
2018-01-08,626.4213210625769,5.67738643371396,688.044216635467,216.72531308068125,2018-01-08,13.3,10.0,18.0,355.0,17.8
2018-01-09,358.62668490409806,4.725272687772905,359.78159708886056,140.1185183690652,2018-01-09,14.3,9.0,18.0,289.0,36.3
2018-01-10,232.42787662228616,3.4369932922224153,267.8880748055212,171.9276213844613,2018-01-10,15.0,10.0,22.0,315.0,35.2
2018-01-11,1128.4133266342992,7.426239795154988,1354.9267085391837,187.42606321970578,2018-01-11,13.8,12.0,17.0,338.0,18.1
2018-01-12,117.06513851943537,3.2046138773431263,124.53542147042226,164.99290162866734,2018-01-12,12.4,8.0,16.0,268.0,37.6
2018-01-13,2626.1016822391066,11.306305428345961,2974.028159866388,54.616602102915394,2018-01-13,10.6,5.0,16.0,273.0,40.3
2018-01-14,237.32543606228262,10.143282208177757,2148.5263579041584,43.01644161012433,2018-01-14,12.8,6.0,18.0,273.0,42.7
2018-01-15,533.6936859722346,5.248890497825205,743.0562067221144,144.40197663836972,2018-01-15,11.0,6.0,17.0,287.0,31.2
2018-01-16,2012.6597017182228,13.326537761423275,3533.7738397889834,201.2602965037023,2018-01-16,12.0,8.0,17.0,285.0,33.8
2018-01-17,3299.338768005369,14.864676919248316,3576.309301482252,194.42657036251447,2018-01-17,9.8,6.0,15.0,277.0,29.2
2018-01-18,2345.570492307343,11.564598189459872,2822.9436813256807,294.2387554380624,2018-01-18,12.3,6.0,19.0,278.0,32.5
2018-01-19,2406.095936669241,9.999656859371372,2416.6614371433416,219.65005387200202,2018-01-19,14.5,10.0,22.0,295.0,38.5
2018-01-21,3158.51019117567,12.263143102327938,3272.6717398948826,192.35031901465473,2018-01-21,13.0,9.0,16.0,287.0,37.2
2018-01-22,1113.4700858127828,7.261575948860896,1401.7013442367822,60.00095800558707,2018-01-22,10.0,3.0,15.0,280.0,24.8
2018-01-23,450.4574129217193,9.265046579970239,2119.295300670743,23.43003364404038,2018-01-23,8.5,1.0,14.0,256.0,27.9
2018-01-24,43.09984246806957,9.773232466644687,2612.240358580359,32.47170828448397,2018-01-24,11.8,7.7,17.0,277.0,37.1
2018-01-25,0.0,9.35841328567927,2353.118408932101,38.42890379163949,2018-01-25,12.8,7.0,21.0,285.0,28.5
2018-01-26,565.50477365347,8.997265485616817,2147.4848289420725,45.07959326719621,2018-01-26,14.9,11.0,20.0,279.0,26.4
2018-01-27,,,,,2018-01-27,13.8,10.0,19.0,289.0,30.3
2018-01-28,,,,,2018-01-28,12.3,8.0,17.0,281.0,38.4
2018-01-29,,,,,2018-01-29,12.8,7.0,18.0,296.0,36.5
2018-01-30,362.00467572893365,9.721435402120834,2431.3840610814586,253.3782260928831,2018-01-30,10.3,6.0,16.0,242.0,24.4
2018-02-01,3402.762685563827,14.954778724246504,3443.0607489857193,201.74360455406992,2018-02-01,13.6,7.0,22.0,273.0,38.0
2018-02-02,3532.1562347412087,18.555734607908413,3600.0,196.4634653727209,2018-02-02,17.3,13.0,21.0,278.0,36.7
2018-02-03,3602.284059312606,19.296762168407394,3600.0,192.77450148264518,2018-02-03,16.9,12.0,25.0,301.0,29.9
2018-02-04,2677.768966931434,14.844114772147568,2692.6079741729573,166.54704854885702,2018-02-04,15.7,8.0,19.0,267.0,21.5
2018-02-05,1356.2039478619868,7.68566609091228,1475.5687368913382,59.53901481628413,2018-02-05,11.5,3.0,19.0,291.0,27.9
2018-02-06,763.9314475763163,5.94932990603976,958.7058019606037,99.08880771530981,2018-02-06,12.3,8.0,17.0,321.0,24.4
2018-02-08,2936.241124471026,11.523565825488793,3117.575088621234,216.03528160519025,2018-02-08,8.8,3.0,14.0,280.0,31.2
2018-02-09,662.5575235277119,5.4170865822169425,755.1191047203331,209.88421993785394,2018-02-09,7.5,0.0,13.0,199.0,20.4
2018-02-11,2100.31257441143,9.200648657149712,2183.0213890747464,228.56120554606073,2018-02-11,8.2,0.0,15.0,272.0,25.5
2018-02-12,1.4780438576514507,1.8037730645802244,6.8239611059053376,204.3198195894555,2018-02-12,12.4,8.0,17.0,267.0,42.5
2018-02-14,3406.9069332546633,14.332993606726282,3499.22727135633,187.01552867889353,2018-02-14,10.9,6.0,16.0,274.0,37.8
2018-02-15,1642.9011336697451,8.03595585541591,1777.6176584734437,119.91759536001395,2018-02-15,10.3,2.0,16.0,321.0,14.2
2018-02-18,16.06667155296434,2.196949406113058,18.373486111103475,131.82704447375374,2018-02-18,11.3,9.0,15.0,226.0,15.6
