Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),date,tavg,tmin,tmax,wdir,wspd,wspd_m_s,riesgo_score,riesgo_operativo,viento_oeste
2018-01-13,2626.1016822391066,11.30630542834596,2974.028159866388,54.616602102915394,2018-01-13,10.6,5.0,16.0,273.0,40.3,11.194444444444443,8.522672145896465,Bajo,0
2018-01-14,237.32543606228265,10.143282208177755,2148.5263579041584,43.01644161012433,2018-01-14,12.8,6.0,18.0,273.0,42.7,11.861111111111112,7.858191547128877,Bajo,0
2018-01-15,533.6936859722346,5.248890497825205,743.0562067221144,144.40197663836972,2018-01-15,11.0,6.0,17.0,287.0,31.2,8.666666666666666,4.282667632028456,Bajo,0
2018-01-16,2012.6597017182228,13.326537761423277,3533.7738397889834,201.2602965037023,2018-01-16,12.0,8.0,17.0,285.0,33.8,9.388888888888888,9.073700434631743,Bajo,0
2018-01-17,3299.338768005369,14.864676919248316,3576.309301482252,194.42657036251447,2018-01-17,9.8,6.0,15.0,277.0,29.2,8.11111111111111,9.94102837377121,Bajo,0
2018-01-18,2345.570492307343,11.564598189459872,2822.9436813256807,294.2387554380624,2018-01-18,12.3,6.0,19.0,278.0,32.5,9.027777777777777,8.14431446923148,Bajo,1
2018-01-19,2406.095936669241,9.999656859371372,2416.6614371433416,219.650053872002,2018-01-19,14.5,10.0,22.0,295.0,38.5,10.694444444444445,7.138683004511712,Bajo,0
2018-01-21,3158.51019117567,12.263143102327938,3272.671739894882,192.35031901465476,2018-01-21,13.0,9.0,16.0,287.0,37.2,10.333333333333334,8.52455252806343,Bajo,0
2018-01-22,1113.4700858127828,7.261575948860896,1401.7013442367822,60.00095800558707,2018-01-22,10.0,3.0,15.0,280.0,24.8,6.888888888888889,5.434723347094316,Bajo,0
2018-01-23,450.4574129217193,9.26504657997024,2119.295300670743,23.43003364404038,2018-01-23,8.5,1.0,14.0,256.0,27.9,7.749999999999999,7.009027947982144,Bajo,0
2018-01-24,43.09984246806957,9.773232466644687,2612.240358580359,32.47170828448397,2018-01-24,11.8,7.7,17.0,277.0,37.1,10.305555555555555,7.155050591097924,Bajo,0
2018-01-25,0.0,9.35841328567927,2353.118408932101,38.42890379163949,2018-01-25,12.8,7.0,21.0,285.0,28.5,7.916666666666666,6.498381304740894,Bajo,0
2018-01-26,565.50477365347,8.997265485616817,2147.4848289420725,45.07959326719621,2018-01-26,14.9,11.0,20.0,279.0,26.4,7.333333333333333,5.765025958036757,Bajo,0
2018-01-27,,,,,2018-01-27,13.8,10.0,19.0,289.0,30.3,8.416666666666666,,Alto,0
2018-01-28,,,,,2018-01-28,12.3,8.0,17.0,281.0,38.4,10.666666666666666,,Alto,0
2018-01-29,,,,,2018-01-29,12.8,7.0,18.0,296.0,36.5,10.13888888888889,,Alto,0
2018-01-30,362.0046757289337,9.721435402120834,2431.384061081458,253.3782260928831,2018-01-30,10.3,6.0,16.0,242.0,24.4,6.777777777777777,6.588416796828055,Bajo,1
2018-02-01,3402.762685563827,14.954778724246504,3443.06074898572,201.74360455406992,2018-02-01,13.6,7.0,22.0,273.0,38.0,10.555555555555555,10.383978345659013,Medio,0
2018-02-02,3532.1562347412087,18.555734607908413,3600.0,196.4634653727209,2018-02-02,17.3,13.0,21.0,278.0,36.7,10.194444444444445,11.872329653633937,Medio,0
2018-02-03,3602.284059312606,19.296762168407398,3600.0,192.7745014826452,2018-02-03,16.9,12.0,25.0,301.0,29.9,8.305555555555555,12.03916841215555,Medio,0
2018-02-04,2677.768966931434,14.844114772147568,2692.6079741729573,166.54704854885702,2018-02-04,15.7,8.0,19.0,267.0,21.5,5.972222222222222,9.300913307732985,Bajo,0
2018-02-05,1356.2039478619868,7.68566609091228,1475.5687368913382,59.53901481628413,2018-02-05,11.5,3.0,19.0,291.0,27.9,7.749999999999999,5.861399654547368,Bajo,0
2018-02-06,763.9314475763163,5.94932990603976,958.7058019606036,99.0888077153098,2018-02-06,12.3,8.0,17.0,321.0,24.4,6.777777777777777,4.125153499179412,Bajo,0
2018-02-08,2936.241124471026,11.523565825488792,3117.575088621234,216.03528160519025,2018-02-08,8.8,3.0,14.0,280.0,31.2,8.666666666666666,8.347472828626607,Bajo,0
2018-02-09,662.5575235277119,5.417086582216943,755.1191047203331,209.88421993785397,2018-02-09,7.5,0.0,13.0,199.0,20.4,5.666666666666666,4.3835852826635,Bajo,0
2018-02-11,2100.31257441143,9.200648657149712,2183.0213890747464,228.56120554606076,2018-02-11,8.2,0.0,15.0,272.0,25.5,7.083333333333333,6.937055860956494,Bajo,1
2018-02-12,1.4780438576514507,1.8037730645802244,6.8239611059053376,204.3198195894555,2018-02-12,12.4,8.0,17.0,267.0,42.5,11.805555555555555,2.643374949859246,Bajo,0
2018-02-14,3406.9069332546637,14.332993606726282,3499.22727135633,187.01552867889356,2018-02-14,10.9,6.0,16.0,274.0,37.8,10.499999999999998,10.09979616403577,Medio,0
